text,label
eu hoje falando que a comunidade lgbt entrou num padrão e namora pessoas iguais a si e que é comum o preterimento do negro e a objetificação da mulher negra e etc com um casal gay branco atrás de mim que podia me acusar de homofobia e acabar com a minha vida,0
Aliás por isso que eu não assino. Pra não acabar com a minha vida social,0
eu mando cada foto pro Romulo e pra Maria que se um dia eles quiserem acabar com a minha vida tá facinho,0
essa conta ainda vai acabar com a minha vida  ,0
Desgraçada fdp  fazendo macumbinhaaaa pra acabar com a minha vida achando que eu não ia saber,0
Mulheres ruivas vão acabar com minha vida,0
Essa tequila vai acabar com a minha vida kkkkkk,0
Hj as 21h47 minha mãe me bate me deixando machucada e me ameaça apenas por eu falar que estou namorando uma garota... Sério eu não tô bem eu acho que vou acabar com a minha vida de vez... então... É isso estou machucada mais a morte vai me fazer esquecer isso,1
nossa outra igual eu nunca vi na vida ela é puro embalo é disparo é de parar a avenida já é pura adrenalina no meu coração essa sensação mina tu vai acabar com a minha vida,0
O problema é que meu coração sempre fala de mais sai dizendo cada eu te amo pra quem não devia dessa vez ele escolheu você pra acabar com a minha vida  outra vez tô colecionando garrafas vazias,0
pensando em como vou pegar uma barra de chocolate e comer tudo sem minha mãe perceber e acabar com minha vida antes de eu repor,0
o Bayern querer contratar o Werner é pra querer acabar com a minha vida de vez.,0
maravilha meu pai vai tirar meu celular de novo e meu psicológico está 100 abalado se eu não acabar com minha vida hj...,1
Saber que o louco do Bira pode acabar com minha vida com um simples gesto me preocupa,0
O MEJ quer acabar com a minha vida,0
Maldito sertanejo pra acabar com a minha vida,0
mesmo tendo provavelmente umas 3 provas que vão acabar com a minha vida,0
Assistindo This Is Us pra acabar com a minha vida de vez,0
Matheus e Kauan para de acabar com minha vida AGORA,0
O problema é que meu coração sempre fala demais Sai dizendo cada eu te amo Pra quem não devia Dessa vez ele escolheu você Pra acabar com a minha vida,0
salário caindo em pleno sabadou e hj tem logo o show do turma do pagode vou acabar com a minha vida mais uma vezzzz,0
Taylor Swift está voltando para acabar com a minha vida,0
o objetivo de yuri ontem no rolê foi acabar com a minha vida  só isso,0
Eu preciso acabar com minha vida o mais rápido possível,1
heloísa vai acabar com a minha vida kkkkkkk prevejo,0
Dessa vez ele escolheu você pra acabar com a minha vida,0
TAYLOR SWIFT ESTÁ VOLTANDO PARA acabar com a minha vida ! ,0
A porra dessa uber Eats quer acabar com minha vida social,0
esss relatório de estágio vai acabar com a minha vida social eu sinto,0
Se aquele menino não acabar com minha vida .. Não considero ele fdp,0
nossa estou cansado de viver,1
Tô tão cansado dessa vida. Tô tão cansado de não conseguir ser feliz de não ver luz no fim do túnel. Tô realmente bem cansado de viver assim.,1
oficialmente cansado de viver,1
Primeiro capítulo no ar! Ian Thompson está cansado de viver a vida que seus pais escolheram para ele e por isso decide voltar para sua cidade natal Charleston e alugar um apartamento próximo a casa do avô...  ,0
Tou tão cansado de viver .,1
 cansado de viver EM UM PAÍS QUE SÓ ANUNCIA TRAGÉDIAS LIXO,0
Na Porta ao Lado volta amanhã para o Wattpad e hoje ganhou capa e sinopse novas! Ian Thompson está cansado de viver a vida que seus pais escolheram para ele e por isso decide voltar para sua cidade natal...  ,0
cansado de viver  chega de ser um tormento na vida das pessoas,1
Oq vc tem? Nada é só cansaço Cansaço psicológico... cansado de viver  isso sim.,1
cansado com dor de cabeça e sem vontade de viver,1
Sabe o que e estar cansado de viver ?? Pse to nesse nivel ja,1
Realmente tô cansado de viver,1
Tem como não acordar mais tô cansado de viver isso todo dia,1
aí namoral? a existência cansa to cansado de viver,1
Você está triste e cansado de viver a vida em um carrossel E você não pode encontrar o lutador Mas eu vejo isso em você então nós vamos caminhar com isso E mover montanhas Nós vamos caminhar com isso E mover montanhas ,0
cansado de viver dividido entre política e varejo. as urgências são as mesmas e tudo é pra ontem.,0
Você está triste e cansado de viver a vida em um carrossel. Você não pode encontrar o lutador mas eu vejo isso em você então nós vamos caminhar com isso e mover montanhas !   ,0
E eu to tão cansado de viver longe das pessoas que eu gosto..,0
cansado de viver uma vida baseada em estações,0
Cada vez mais cansado de viver ....,1
atenção jovens deem o banco para os idosos se tu tem 20 anos e já tá cansado de viver  então imagina a porra do idoso dá o banco pro idoso filha da pita,0
eu nunca tinha entendido isso. mas agora eu entendo. eu to cansado de viver .,1
Um dia você ta brincando com seus brinquedos jogando seu vídeo game e cansado de viver por causa dos seus tramas de escola. No outro está vendo tudo isso na vida de outra pessoa que você gerou. A vida é uma bala parceiro! Aproveita cada segundo. ,0
É q a gente n quer só comida mas tamo cansado de viver do pecado.,0
a gente vai lutar e se precisar vamo fazer revolução e guerra. tamo cansado de viver em um país racista onde só branco tem vez! ,0
meme do tom cansado de viver  ,0
cansado de viver pelas posições de outros eu quero viver pra me agradaaaaar,0
A tristeza tenta a esperança me roubar o coração cansado de viver a frustração de esperar mas Deus não vai deixar que o tempo possa sufocar preciso aprender a confiar e esperar.....,0
Tô cansado de viver duro,0
eu to cansado de viver isso qria q tudo acabasse,1
To cansado de viver mesmo,1
aff cansado de viver é sério,1
sei lá só queria dormir pra sempre,1
daí você mistura um monte de remédios esperando sei lá dormir pra sempre ??? e acorda já no dia seguinte só com uma dor no estômago absurda ???? acordada triste com dor no estômago mais azarada que eu???,1
Chuvinha otima pra dormir pra sempre,0
carai esse clima da vontade de dormir pra sempre,0
cara só queria dormir pra sempre até td isso passar ainda n superei nada,1
Eu queria dormir pra sempre  deve ser mt bom,1
quero dormir pra sempre tem como?,1
meu sonho é dormir pra sempre  mas quem dorme pra sempre eh quem morre mas eu não quero morrer só quero dormir pra sempre msm.,0
só quero dormir pra sempre a,1
só quero dormir pra sempre,1
To só pensando: Aquele dia a gente acorda com vontade de dormir pra sempre  porque tudo está uma bosta,1
Isso é vdd queria dormir pra sempre,1
Odeio a minha vida eu só queria dormir pra sempre e nunca acordar,1
o tanto de coisa que eu vou ter que fazer amanhã...sla so queria dormir pra sempre,0
Se vc dormir pra sempre não vai mais dar risada das merdas que eu falo enquanto a gente almoça,0
momento que eu não sei o que to sentindo e to sem propósito nenhumqueria dormir pra sempre,1
que vontade de dormir pra sempre,1
queria dormir pra sempre sabe,1
eu me sinto horrível. Eu prometi pra tanta gente que iria tentar melhorar mas as coisas só pioram e pioram. tudo dentro de mim dói de uma maneira insuportável eu nem quero mais que as pessoas entendam. não quero tentar explicar ou melhorar eu só quero dormir pra sempre .,1
vontade de dormir pra sempre,1
Áh mano sei la Só queria dormir pra sempre,1
Só queria dormir pra sempre ..,1
sou gorda sofri mt bullying e nunca vou conseguir ter uma vida boa porque a crise de ansiedade e depressão tomaram conta de mim só queria dormir pra sempre,1
To descrente da minha vida angústia sem motivo vontade de dormir pra sempre,1
Pq ultimamente puf só queria dormir pra sempre,1
vontade de dormir pra sempre,1
to cansada quero dormir pra sempre ....,1
Cansada demais queria dormir pra sempre,1
você deve estar morto amigo kkkk,0
a mas como o jon vai matar matar o rei da noite se ele vai estar morto ??? pare de procurar lógica num série q tem dragões,0
amnha vou estar morto na escola (ressaca),0
e que não vai ficar no trono de ferro pq vai estar morto  obrigado  ,0
O BROOK É UM MORTO QUE COMEU A FRUTA QUE IMPEDE Q ELE MORRA E ELE COMEU ISSO DPS DE estar morto E AGR ELE É UM ESQUELETO VIVO E MORTO,0
ei kunikida que tal você parar de brincar de estar morto e tentar aparecer no novo capítulo mês q vem,0
morrer não deveria ser tabu se pessoa quer morrer deixa ela morrer inferno afinal vai estar morto então vai ter nem como se arrepender a vidas dos outros segue normal .. ninguém vai se parar pq alguém morre as viver é igual uma tortura dentro da própria bolha,1
Ele pode estar no chão Ele pode estar deitado Ele pode estar morto Ele pode estar de costas EU NÃO DUVIDO NUNCA DE STEPHEN CURRY    ,0
Ruben Branco faz piadas para quem merecia estar morto,0
Spider Groot Gamora e Loki (ele pode não estar morto  mas em IW mostrou a morte então conta),0
Só queria estar morto neste momento,1
Vou chegar em casa e o cachorro vai estar morto de fome mas estou me sentindo bem demais onde estou,0
uma frase que ache inspiradora  Viver sem uma paixão é como estar morto . Me faz acreditar no amor então eu gosto bastante.  ,0
Devido o Michael Jackson já estar morto e não poder se defender eles acusam o documentário de calúnia e esse também é um dos fatores responsáveis pelas ações contra ele. Não quer dizer q o documentário é mentira,0
Aí mais umas vez vo falar queria estar morto,1
Absurdo é não ter cancelado o cpf. Eu aprendi que ao sacar a arma é para mandar chumbo quente e depois pode conversar um pouco se desejar com o quase morto  tipo padre passando a extrema unção. Ele podia estar morto e a mulher também.  ,0
Irmão queria estar morto .,1
É capaz de meu futuro neto estar morto e esse animemanga ainda existir.,0
senhor o dia que alguem sentir ciumes de mim eu vou estar morto cm ctz pq vivo n vai acontecer nunca,0
Planejava estar morto agora.,1
parou pq quis garoto se estar morto é ser como a miley pqp mais da metade dos artistas queriam estar mortoskkkkk n adianta chorar ariana é muito artista mas n ta no pedestal que vcs a colocam bjs nego,0
Vontade de estar morto está mesmo grande nem imaginam,1
Ata O Michael passou de estar morto a estar no meio de uma guerra civil no Iraque Que é basicamente o mesmo,0
passar o dia do beijo sem beijar ngm é triste mas tu ja passou o dia dos finados sem estar morto ?,0
kkkkkjjk noooossa fi se o will faz isso cmg ele pode até n estar morto de vdd mas eu MATO dps dessa palhaçada,0
Queria ficar bebado sem estar morto no outro dia não tá fácil,0
Eu queria estar morto,1
Tem q ser 2 rins msm pq pra ir no show do xxx tem q estar morto msm,0
é tipo algo que nunca aconteceria no mundo real e que vc nunca iria admitir que adoraria que acontecesse com vc mas que no fundo vc gostaria pq fala sério quem não ama um clichê romântico haha se vc não ama deve estar morto por dentro brincadeirinha ,0
 o erro da ditadura foi tortura e não matar  ... Zico teve um irmão torturado ... ainda assim apoia quem acha que o irmão dele deveria estar morto ! na verdade morto quem está é o Zico a morte moral é a pior de todas as mortes,0
 vai jogar virado Eu vou estar morto e ainda tendo q dividir atenções com a arbitragem Tõ sentindo q é o dia do  brilhar,0
queria estar morto . há tempos.,1
não é que eu queria morrer porque dói e a minha vida é uma bosta eu quero morrer porque assim é bem mais fácil saca? morri acabou. se eu morro não preciso me preocupar com nada referente a aparência PORQUE EU VOU estar morto  então eu quero morrer porque é mais fácil,1
Eu sei foi só uma brincadeira. Sorte do cidadão já estar morto  do contrário seria linchado.,0
Pq não ? Eu não quero pagar pra manter bandido lá que merece estar morto e até o mesmo os que merecem estar lá eai como faz?,0
Não sei o que é pior viver ou não estar morto,1
Eu: Palpatine seu fdp vc deveria estar morto Also Palpatine :  ,0
Eu preferia estar morto,1
Vi tão sublime a chuva caindo e não pude tocala a sensação de vida que acompanha a chuva me foi tirada agora só me resta a sensação de estar morto ... É agoniante morrer enquanto ainda respiraacordando todas manhãs vivo dentro do mesmo corpo que pode ser intitulado de prisão..,1
Posso estar morto de cansaço e ter me fodido muito no serviço nos últimos 3 dias mas porra esse mapeamento me rendeu muita risada e umas vistas do crl,0
Gente mulher sem noçãoele poderia estar morto ! suicídio ou na cadeia Prq até os bandidos não aceitam esse tipo de crime.Ele é um escolhido de Deus... muito abençoado!,0
Porque aquilo que a a rey tava olhando era a estrela da morte né? Aqueles destroços. Então faz sentido (tirando o fato de que ele deveria estar morto ) a risada no final ser do Imperador,0
olha... episódios 1 ao 3 e prometheus me fizeram eu achar que qualquer sequencia de ficção vai ser BEM ruim. Aí se for bom vai ser uma boa surpresa e se for ruim vão estar simplesmente entregando o que eu esperava. em outras palavras é bom estar morto por dentro.,0
Sem a Sakura Sasori não ia estar morto pois a Chyo sozinho ia perder pra ele.,0
A sensação de estar morto por dentro é horrível,1
Nessa altura ele vai estar morto depois de anos a mamar uma belíssima pensão de velhice que negam às gerações mais novas  ,0
Levando em conta que a Cersei tá na lista da Arya de pessoas que ela quer matar desde a season 2 seria o fan service perfeito ela riscando mais um nome da lista matando a Cersei ainda mais com o rosto do Jamie (mas pra isso ele teria que estar morto ),0
eu sei que eu estaria melhor morto,1
Meu amor próprio foi violado Minha privacidade foi revirada E ainda encontro ainda encontro Repetindo em minha mente Se não posso ser eu mesmo Eu me sentiria melhor morto,1
Se não posso ser eu mesmo Eu me sentiria melhor morto !,1
eu estaria melhor morto,1
tem uma voz na minha cabeça dizendo que eu estaria melhor morto,1
e quer saber eu estaria melhor morto,1
Haddad nunca foi homofóbico aonde o povo ta com a cabeça. Os Bolsonaros que saem dizendo por aí que filho gay é melhor morto e não o    ,0
se eu sinto falta de alguma amizade que eu tinha? posso até ter mas se a pessoa tá melhor sem mim  oq q eu posso fazer né,0
todo mundo é melhor sem mim  eu só dou desgosto,1
eu sabia que tudo é melhor sem mim .,1
Por muito que goste de ti ao fim do dia sei que estás melhor sem mim e não há nada que eu possa fazer...,0
sinto tanto a tua falta mas sei que está melhor sem mim,0
eu não me dou ao luxo de sair da vida de ninguém a menos que a pessoa realmente esteja melhor sem mim  o que sabemos que não acontece né?,0
cada vez tenho mais certeza de que não faço falta em lugar nenhum e tudo é melhor sem mim .,1
A vida de muitas pessoas seria melhor sem mim por perto,1
O mundo seria melhor sem mim,1
Nao sente falta da amizade do Guilherme??  Sentir eu sinto mas ele ta melhor sem mim  ,0
além disso é uma proposta muitas vezes egoísta a pessoa tá melhor sem mim pra que impor uma dr e uma tentativa de reconciliação senão pra afagar meu ego que tá dizendo ela te odeia vai resolver isso?,0
Eu sou um completo desastre em todos os aspectos da vida um inútil de verdade (já falaram isso pra mim ) o mundo vai ser um lugar melhor sem mim,1
Nao vou te chamar tu ta melhor sem mim  Curte alguma coisa quero saber quem é  ,0
mas eu sei que ela vai ficar melhor sem mim,0
Se ela ta melhor sem mim  vou correr atrás pra que ju?,0
para de fingir q tá melhor sem mim besta e deixa eu cuida de você,0
Preciso começar a fazer terapia essas crises uma hr vai me matar,1
egua eu quero me matar real sem meme,1
Meus pais estão com medo deu me matar,1
Quebrei pela segunda vez meu óculos MEU PAI VAI me matar REAL,0
O que fiz no fds inteiro? Tudo menos estudar mas faço de consciência limpa pois não vou me matar uma por uma coisa que já está me matando,0
socorro enxaqueca vai me matar,0
às vezes dá tanta vontade de me cortar outra vez mas realmente não vai fazer a diferença eu tinha é que me matar,1
Tenho pressão alta mozi kkkkkkkkkk quer me matar é?,0
Rapaz se esse programa de hj nao me matar de rir nada mais me matará ,0
Minha mãe vai me matar quando descobrir que assinei esse pacote pelo cartão dela.,0
 vc quer me matar do coração filho? Aquele papelão do Lean Juca no armário. CRISTO,0
A Nicol foi ao meu telemóvel na conta privada e meteu na foto dele! Aptece me matar te!,0
Já falei que você vai me matar do coração ok?,0
Essa EJ vai me matar ainda Se n for de felicidade vai ser de desespero,0
Incrível o jeito que ela consegue me matar em 9s pic.twitter.comYYKbRNXj4x,0
Amanhã tenho dentista ela vai me matar amanhã,0
Essa sdds ainda vai me matar,0
Meu pai pediu japa e eu vou comprar meu hambúrguer vou me matar de tanto comer,0
só hoje eu comi um bolo inteiro vem gluten me matar pic.twitter.comovmyK0KSGr,0
puta que me pariu acabei de descobrir que tenho prova amanha eu vou me matar aaaacarALHOOO,0
Quer me matar de ódio é acordar minha filha atoa TOMAR NO MEIO DO CU,0
Hoje eu sonhei que uma menina qie faz rp lá na univali tentava me matar hsbshshs que horror,0
filha da puta no meio da praia falou q queria pegar pedra pra jogar na minha cabeça q ia me matar . flamenguista é uma desgraça msm ne,0
vou me matar mano PUTA QUE PARIU como pode ser tão idiota e filha da puta,1
só hoje ja quis me matar 10 vezes Grande Dia,1
Meu pai vai me matar,0
meu irmão vai me matar de rir kkkkkkkkllkkk,0
Vem matar a saudade antes dela me matar,0
sujei a casa inteira de rosa mamae vai me matar,0
minha mãe vai me matar,0
Incrível como meu pai me faz passar da euforia do borderline pra querer perguntar pra drogadinho na rua se tem arma pra me matar  que eu pagava no dia do meu aniversário.,1
minha sogra vai me matar uma hora,0
quer me matar de raiva é não me dar atenção,0
o pior é que antes das eleições esse menino era um cavalheiro chegava e beijava minha mão agr do nada toda vez que ele me vê fala que vai pegar uma arma e me matar,0
menina.. quer me matar do coração????,0
O ciúmes ainda vai me matar um dia,0
to brisando em você to querendo te ver to puxando assunto pra vc me responder.. vem mas vem pra ficar sem hora pra voltar vem matar a saudade antes dela me matar .......,0
Yuri vai me matar mané pqp,0
 descobri o curiouscat acho legal quem quiser me matar por mensagem ou mandar mensagem de carinho fique a vontade,0
Vasco ainda vai me matar e tá bem perto muito perto msm,0
caralho eu só queria me matar o que custaaaa pic.twitter.comuUegewXqyI,1
Como me matar sem deixar minha mãe triste,1
ansiosa p receber o guilherme em cps e ele me matar sufocada de noite ,0
ai meu que vontade de me matar,1
O menino tá assistindo Magic Mike e coloca na legenda que tá aprendendo a dançar. É pra me matar do coração mesmo né,0
bicho tá passando o penúltimo episódio da sétima temporada tu é doida hbo quer me matar assim,0
eu conversando sobre o ceu pra o moço nao me matar difícil ser mulher,0
O fato de eu ser cristão ñ quer dizer q tenho q amar pessoas q seguem a ideologia q mais assassinou cristãos na história universal. Amo pessoas e odeio ideologia q quer me matar . Esquerda é assassina. E eu odeio assassino,0
valeu a pena pelos seguintes motivos: estava com saudade dessa corna e a gente riu pra caralho e o Hero é gosto suficiente pra me fazer ficar olhando pra tela de cinema sem querer me matar,0
Adoro ouvir a tua voz ficar perto de você essa distância quer me matar,0
que vontade de queimar tudo fugir pra outro país e começar uma nova vida ou sei la me matar,1
já comecei com: Desculpa vc vai me matar,0
Mano a agonia ainda vai me matar  me corroendo por dentro,1
eu não vou me matar pra pagar 70 reais em ingresso pra final de rural não podia mandar a porra do jogo pra porra do mineirão mas ta com medo e leva pro independencia pra colocar um preço abusivo desse,0
Essa mania de guardar as coisas isso ainda vai me matar,0
seja fotógrafo da sua namorada ela vai querer me matar  mas preciso postar essa obra de arte que tirei kdkgkh pic.twitter.com8DhI2oivdi,0
c quer me matar de raiva isadora,0
Quase engasguei com maçã agora opa! Tem uma bruxa malvada disfarçada de madastra da Branca de Neve tentando me matar ?,0
eu aceitei bebida de um estranho se minha mãe souber ela vai me matar,0
Acabei meus trabalhos agr a ansiedade p 22:30 ta imensa ja comprei o desfibrilador p minha arritmia nao me matar durante o epd,0
pensando em quem deve morrer em got enquanto a cólica tenta me matar,0
pfvr alguém pode ficar 24h por dia cmg até eu não querer me matar mais,1
Avaliações bimestrais  desespero vai essa aqui mesmo e minha mãe vai me matar .,0
Essa semana n preciso me matar de estudar pra prova de quinta,0
 pede pra eu ligar pra ela e eu tenho que me matar pra puxar assunto com essa praga pra ela me responder com aaa taaa.,0
Ah não cara... percebi que escrevi uma ANAMNESE a mão com artigo de bioquímica atrás MEU DEUS DO CÉU VOU me matar (será q da pra entregar assim mesmo?),0
Comi muito hoje amanhã vou me matar na academia,0
O que sugere querida? Uma prece à Afrodite? Ou devo fazer uma oferenda para o rei dos mares agradecendo por ele quase me matar afogada?,0
gente lua ta em leao e a venus em peixes puta que pariu QUER me matar ASTROLOGIA ?????????,0
a rihanna eh mt linda cara sera que se ela nao me matar eu tenho chance de casar com ela,0
a madonna quer me matar msm,0
Léo conseguiu quase me matar do coração viu filho da puta,0
ela vai me matar mas olha isso pic.twitter.comntmf4Jd7js,0
Galo vai me matar do coração uai kkk não sei se tenho psicológico pra isso,0
O Fábio ainda vai me matar tentando driblar atacante uma hora isso vai dar merda,0
Hoje aprendi uma nova palavra com minha irmãzinha especiante (especial)  o tá você é muito especiante Essa menina ainda vai me matar de amor,0
projeto vai me matar esse período certeza,0
To aponto de me matar Mano,1
escola pq tentas me matar ?,0
Crise de depressão é assim você passa o dia fingindo está bem. Mas agora estou sentada na frente da TV tentando conter a vontade de me matar . E não tem nenhum motivo aparente,1
minha mãe ia me matar  sem condições mas só dava pra comprar 3 tb,0
Meu pai quer me matar de ódio olha a foto que ele me mandou pic.twitter.comuvF7BlEDqY,0
A beleza dessa Carinha gente aff podia me matar  ,0
Vcs vão me matar se eu postar foto no insta novamente?,0
Pior q se eu chegar doente na casa da minha mãe ela vai me matar,0
Com tremenda vontade de me matar,1
Minha namorada quer me matar do coração.,0
Acho que já posso começar a escrever minha carta de suicídio,1
Tem uma lista de uns 50 nomes pra colocar na minha carta de suicídio,1
escrevendo minha carta de suicídio chorando e ouvindo one direction,1
Estou pensando seriamente em escrever minha carta de suicídio,1
Vou terminar de escrever minha carta de suicídio,1
Assinei minha carta de suicídio  ótimo,1
Queria poder ter uma forma simples de me despedir dos meus amigos de uma maneira que eles não percebam oque pretendo fazer. A minha carta de suicídio tá pronta e nela eu peço perdão a poucas pessoas. outras eu agradeço e outras eu agradeço por me fazerem chegar a isto,1
tem dias que eu não aguento mais morar sozinha mas se eu voltasse é como se eu tivesse assinando minha carta de suicídio  pois sem condições. TEM DIAS QUE EU SÓ QUERIA QUE ALGUÉM PLANEJASSE O ALMOÇO COMIGO OU ME OUVISSE FALANDO DAS CENAS DO DORAMA,1
É aqui que eu escrevo a minha carta de suicídio ?,1
Cheguei na escola sentei no fundo peguei o caderno e comecei a escrever minha carta de suicídio : mãe me perdoa por isso mas vai ser o melhor pra todos vcs! Saiba que eu te amo e se suportei isso durante muito tempo foi pra nao te deixar triste mas pra mim ja deu! Desculpa,1
Semana passada fiz minha segunda carta de suicídio e não é que fiz sem chorar sem ter emoções conheço meus limites e sei que algum dia vou passar deles e a partir deste dia deixarei de existir. Assim todo mundo ficará feliz,1
parei pra pensar que ano passado escrevi minha carta de suicídio será que esse ano eu escrevo outra?,1
minha carta de suicídio pode causar perturbações a quem tem o nome envolvido mas pergunta se eu ligo?!,1
Depois disto lanço a minha carta de suicídio,1
na minha carta de suicídio eu com certeza citaria o meu primo. sempre esfregam na minha cara que ele se sai melhor em tudo. que entrou na escola que eu não consegui entrar. que fez não sei o que e pa. pena que não poderia ver a cara de bosta deles lendo essa porra. desgraçados,1
hj de tarde eu escrevi mentalmente a minha carta de suicídio,1
já tô escrevendo minha carta de suicídio,1
Tava aqui pensando faz 8 meses quebeu tentei me matar e eu ainda não joguei fora minha carta de suicídio . E deveria fazer 3 meses que eu não memachuco mas agora só faz duas semanas. Eu sou louca mesmo não tem outra explicação.,1
É minha carta de suicídio,1
qualquer hora dessa já to pondo em prática minha carta de suicídio,1
Muito bom que na minha carta de suicídio eu escrevi a culpa disso não é de vocês é minha  na minha cabeça isso diminui o impacto,1
comecei a escrever minha carta de suicídio,1
Eu escreveria minha carta de suicídio,1
eu ja estou fazendo minha carta de suicídio e vocês?,1
Hoje vim o caminho todo da van pensando o que eu escreveria na minha carta de suicídio caso eu me suicidasse,1
mostrei minha carta de suicídio declaração e recebi elogios,1
vou te mencionar na minha carta de suicídio,1
minha carta de suicídio hm,1
dia 12 de fevereiro eu comecei a fazer a minha carta de suicídio  nessas eu meio que marquei quando o suicídio iria acontecer. Não sei o dia exatamente mas vai ser depois do dia 22 de abril2019.,1
tô perdendo a fé nas pessoas de um jeito que se eu me matar (inclusive quero) minha carta de suicídio vai ser escrita só pro meu cachorro,1
Reescrever minha carta de suicídio,1
boa noite Larilari : vou morrer sozinho Larilari : É mt sua música Larilari : Kkkkkkk,0
o ápice da balada foi tocarem vou morrer sozinho e eu cantando bêbada com o rafael rindo da minha cara.,0
escutando taylor e ficando bad sabendo que vou morrer sozinho .,0
As vzes eu me sinto só a música do Jão.. vou morrer sozinho realll,0
Hj eu tô só a música do  ... Aí Meu Deus eu vou morrer sozinho se continuar nesse caminho ...,0
tu é tao carente q chega dar nojo n é atoa q vai morrer sozinho nessa vida mediocre q voce leva kk  Minha vida ta boa  ,0
ficar junto é nosso destino nois vamo morrer sozinho trepar dividindo um fino,0
Qual é a trilha sonora da sua vida ?  Jão  vou morrer sozinho  ,0
ai meu deus eu vou morrer sozinho,0
fantasias: rafa (  ) se inspirou em vou morrer sozinho  pro look e eu em imaturo. pic.twitter.comjZiqH4p6pW,0
ai meu Deus eu vou morrer sozinho,0
Já que eu vou morrer sozinho  eu preciso ser o tio rico da família a solução perfeita é virar traficante,0
Vou tenta voltar com minha ex pode ser um erro mais melhor q morrer sozinho,0
monogamia foi inventada por um cara de pau mole q não conseguia comer ngm aí inventou o casamento pra garantir que não ia morrer sozinho,0
eu acho que vou morrer sozinho  mas todo mundo morre sozinho  reflita,0
Tô começando acreditar nesse bglh q vou morrer sozinho,0
Qual seu maior medo  Como a maioria dos gays morrer sozinho  ,0
Meu egoísmo vai me fazer morrer sozinho ainda...,0
Sou a cara de meu pai vou morrer sozinho com o meu rancor igual a ele Predestinado a ser um merda Teu sofrimento não é nada comparado a o que você herda,0
Eu definitivamente não tenho sorte no AMOR  acho que nasci pra morrer sozinho,0
Cada dia mais consciente que a gente nasce sozinho e vai morrer sozinho mesmo,0
Carai a verdade é que eu sou um chatonildo vou morrer sozinho,0
Nunca vai da certo c ngm mesmo  kkk nasci sozinho e vou morrer sozinho cria  ,0
Também não me interessa não consigo continuar vendo acho cansativo... Nada contra quem gosta só acho meio superestimada!,0
a personagem do livro tá passando muita vergonha e eu não consigo continuar a ler pq to sentindo por ela,0
eu tô rindo de nervoso pq eu comecei isso e agr não consigo continuar,0
Eu não consigo continuar a do Baby e Daddy porque deu problema com o YouTube,0
Queria entender porque eu não consigo continuar uma conversa com literalmente ninguém???,0
qual a chance do professor responder meu email ainda hj? pq sem a resposta não consigo continuar o exercício e aí será se até o fim do dia eu já chorei? perguntas,0
Eu não consigo continuar dormindo quando  levanta..,0
beleza eu não consigo continuar o filme,0
já entendi pq não consigo continuar assistindo Vikings,0
